WMO_ID,Latitude,Longitude,Elevation,File
028640-99999,65.782,24.599,18.6,02864099999.csv
028670-99999,65.367,27.017,117,02867099999.csv
028690-99999,65.988,29.239,264,02869099999.csv
028720-99999,64.667,24.4,2,02872099999.csv
028730-99999,65.033,24.567,7.3,02873099999.csv
028740-99999,65.033,24.8,6,02874099999.csv
028750-99999,64.93,25.355,14.3,02875099999.csv
028790-99999,64.9,29.017,224,02879099999.csv
028890-99999,64.933,28.75,225.2,02889099999.csv
028970-99999,64.285,27.692,147.2,02897099999.csv
029010-99999,63.733,22.583,13,02901099999.csv
029030-99999,63.721,23.143,25.3,02903099999.csv
029050-99999,63.917,24.967,81,02905099999.csv
029070-99999,64.333,23.45,5,02907099999.csv
029100-99999,63.433,21.067,11,02910099999.csv
029110-99999,63.051,21.762,5.8,02911099999.csv
029130-99999,63.127,23.051,46,02913099999.csv
029150-99999,63.083,25.867,132,02915099999.csv
029170-99999,63.007,27.798,98.5,02917099999.csv
029190-99999,61.2,28.467,77,02919099999.csv
029200-99999,63.75,22.517,19.2,02920099999.csv
029210-99999,62.883,21.1,13,02921099999.csv
029240-99999,62.533,24.217,159.7,02924099999.csv
029245-99999,62.692,22.832,91.7,02924599999.csv
029290-99999,62.663,29.608,121.3,02929099999.csv
029350-99999,62.399,25.678,139.9,02935099999.csv
029390-99999,62.767,30.983,156.5,02939099999.csv
029420-99999,61.833,22.467,124.8,02942099999.csv
029430-99999,61.517,23.75,98,02943099999.csv
029440-99999,61.414,23.604,118.9,02944099999.csv
029450-99999,61.856,24.787,146,02945099999.csv
029470-99999,61.687,27.202,100.3,02947099999.csv
029480-99999,61.943,28.945,94.8,02948099999.csv
029490-99999,60.65,23.8,143,02949099999.csv
029520-99999,61.462,21.8,13.4,02952099999.csv
029580-99999,61.045,28.144,106.4,02958099999.csv
029610-99999,61.133,21.367,10,02961099999.csv
029630-99999,60.817,23.5,103,02963099999.csv
029640-99999,60.717,21.033,3.9,02964099999.csv
029650-99999,60.967,25.633,78.7,02965099999.csv
029660-99999,60.896,26.938,103.3,02966099999.csv
029670-99999,60.283,27.183,5.5,02967099999.csv
029700-99999,60.122,19.898,5.2,02970099999.csv
029720-99999,60.514,22.263,49.1,02972099999.csv
029730-99999,60.4,23.767,86,02973099999.csv
029740-99999,60.317,24.963,54.6,02974099999.csv
029750-99999,60.255,25.043,17.4,02975099999.csv
029760-99999,60.383,26.967,13.1,02976099999.csv
029790-99999,59.5,20.35,16,02979099999.csv
029800-99999,59.967,19.95,10,02980099999.csv
029810-99999,59.783,21.367,6.8,02981099999.csv
029820-99999,59.767,22.95,6.5,02982099999.csv
029840-99999,59.933,24.017,12,02984099999.csv
029870-99999,59.983,25.6,23.3,02987099999.csv
029910-99999,60.2,25.633,27.1,02991099999.csv
029920-99999,60.283,26.45,3.5,02992099999.csv
029930-99999,60.3,19.133,15.1,02993099999.csv
030020-99999,60.75,-0.85,15,03002099999.csv
030030-99999,59.879,-1.296,6.1,03003099999.csv
030050-99999,60.133,-1.183,84,03005099999.csv
030060-99999,60.45,-1.267,7,03006099999.csv
030064-99999,60.433,-1.296,24.7,03006499999.csv
030070-99999,60.583,-1.267,20,03007099999.csv
030080-99999,59.533,-1.633,57,03008099999.csv
030090-99999,59.367,-2.417,11,03009099999.csv
030100-99999,59.083,-4.4,12,03010099999.csv
030170-99999,58.958,-2.905,15.5,03017099999.csv
030220-99999,57.481,-7.363,5.8,03022099999.csv
030230-99999,57.333,-7.367,4,03023099999.csv
030260-99999,58.216,-6.331,7.9,03026099999.csv
030290-99999,56.733,-6.217,12,03029099999.csv
030310-99999,57.717,-4.883,264,03031099999.csv
030340-99999,57.867,-5.633,10,03034099999.csv
030370-99999,57.25,-5.8,18,03037099999.csv
030390-99999,57.417,-5.683,773,03039099999.csv
030410-99999,56.817,-4.967,1130,03041099999.csv
030440-99999,58.283,-4.433,80,03044099999.csv
030470-99999,56.867,-4.7,249,03047099999.csv
030490-99999,58.633,-5,112,03049099999.csv
030570-99999,57.267,-4.483,21,03057099999.csv
030590-99999,57.543,-4.048,9.4,03059099999.csv
030620-99999,57.817,-3.967,4,03062099999.csv
030630-99999,57.2,-3.833,228,03063099999.csv
030650-99999,57.117,-3.633,1245,03065099999.csv
030660-99999,57.649,-3.561,6.7,03066099999.csv
030680-99999,57.705,-3.339,12.8,03068099999.csv
030700-99999,57.35,-3.35,213,03070099999.csv
030720-99999,56.883,-3.417,933,03072099999.csv
